id,query,category,expected_primary_agent,expected_escalation,expected_ticket_created,target_account_id,target_entity_id,expected_answer_keywords,expected_answer_summary,evaluation_focus
1,Show details of account 8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,crm,crm,False,0,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,,"Johnson LLC, Starter, Active","Account 8c1d9bef-0ab1-4233-a643-0a32d8fb95d4 belongs to Johnson LLC, Plan: Starter, Status: Active, Seats: 89.",routing_and_answer_accuracy
2,Show details of account 46bee804-34a6-40f3-93a7-61df3c67db3f,crm,crm,False,0,46bee804-34a6-40f3-93a7-61df3c67db3f,,"Vazquez Group, Growth, Active","Account 46bee804-34a6-40f3-93a7-61df3c67db3f belongs to Vazquez Group, Plan: Growth, Status: Active, Seats: 28.",routing_and_answer_accuracy
3,Show details of account 51fc306a-24e1-415b-aad7-508f97d414cb,crm,crm,False,0,51fc306a-24e1-415b-aad7-508f97d414cb,,"Sherman Group, Starter, Trial","Account 51fc306a-24e1-415b-aad7-508f97d414cb belongs to Sherman Group, Plan: Starter, Status: Trial, Seats: 56.",routing_and_answer_accuracy
4,Show details of account e732ab2c-0ce1-4418-8a04-185d7c6763c0,crm,crm,False,0,e732ab2c-0ce1-4418-8a04-185d7c6763c0,,"Robbins-Young, Starter, Suspended","Account e732ab2c-0ce1-4418-8a04-185d7c6763c0 belongs to Robbins-Young, Plan: Starter, Status: Suspended, Seats: 77.",routing_and_answer_accuracy
5,Show details of account e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,crm,crm,False,0,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,,"Rogers-Whitehead, Starter, Suspended","Account e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4 belongs to Rogers-Whitehead, Plan: Starter, Status: Suspended, Seats: 134.",routing_and_answer_accuracy
6,Show details of account 4a319096-c350-4642-8635-bb8a194ea3aa,crm,crm,False,0,4a319096-c350-4642-8635-bb8a194ea3aa,,"Hunt, Gonzalez and Townsend, Business, Past Due","Account 4a319096-c350-4642-8635-bb8a194ea3aa belongs to Hunt, Gonzalez and Townsend, Plan: Business, Status: Past Due, Seats: 19.",routing_and_answer_accuracy
7,Show details of account cf9e5c86-0e01-425d-81a5-5d60f2bff1de,crm,crm,False,0,cf9e5c86-0e01-425d-81a5-5d60f2bff1de,,"Powell Inc, Business, Active","Account cf9e5c86-0e01-425d-81a5-5d60f2bff1de belongs to Powell Inc, Plan: Business, Status: Active, Seats: 69.",routing_and_answer_accuracy
8,Show details of account f1354fc3-75ef-443e-b820-8083940c4856,crm,crm,False,0,f1354fc3-75ef-443e-b820-8083940c4856,,"Jordan, Robinson and Spencer, Business, Active","Account f1354fc3-75ef-443e-b820-8083940c4856 belongs to Jordan, Robinson and Spencer, Plan: Business, Status: Active, Seats: 100.",routing_and_answer_accuracy
9,What is the contract status and expiration date for company Edwards-Watkins?,crm,crm,False,0,e6e2af16-0440-43b2-ae02-50f9247726d3,,"2027-07-24, Edwards-Watkins",Contract for Edwards-Watkins ends on 2027-07-24 with start date 2023-11-02.,answer_accuracy
10,"What is the contract status and expiration date for company Duran, Johnston and Garza?",crm,crm,False,0,10853b5f-d44a-473b-aacd-cce5a9440729,,"2028-06-18, Duran, Johnston and Garza","Contract for Duran, Johnston and Garza ends on 2028-06-18 with start date 2024-12-08.",answer_accuracy
11,What is the contract status and expiration date for company Herman-Alexander?,crm,crm,False,0,0ed5b12a-9f77-48e6-be6e-46dbb72d7e71,,"2028-02-18, Herman-Alexander",Contract for Herman-Alexander ends on 2028-02-18 with start date 2024-07-12.,answer_accuracy
12,What is the contract status and expiration date for company Hunt-Cunningham?,crm,crm,False,0,a899bc30-3d58-4941-9b92-c5e40584d04a,,"2026-10-28, Hunt-Cunningham",Contract for Hunt-Cunningham ends on 2026-10-28 with start date 2025-02-08.,answer_accuracy
13,List all users and administrators registered under account 80e7ea84-3605-4cb4-ac12-ff5128f5d4d0,crm,crm,False,0,80e7ea84-3605-4cb4-ac12-ff5128f5d4d0,,"brettle@example.com, ubarnes@example.org",Account has 5 users. Admins include N/A.,answer_accuracy
14,List all users and administrators registered under account 8c215458-8db5-47a8-a00f-613c6f9ace6b,crm,crm,False,0,8c215458-8db5-47a8-a00f-613c6f9ace6b,,"emily52@example.org, bryce41@example.org",Account has 8 users. Admins include N/A.,answer_accuracy
15,List all users and administrators registered under account 2894e589-8178-4d92-9443-433f2184c5c1,crm,crm,False,0,2894e589-8178-4d92-9443-433f2184c5c1,,"fgutierrez@example.org, williamsvalerie@example.com",Account has 5 users. Admins include N/A.,answer_accuracy
16,List all users and administrators registered under account cc43fe32-4e44-4c6d-b597-59f8de20f461,crm,crm,False,0,cc43fe32-4e44-4c6d-b597-59f8de20f461,,"stephanie01@example.com, douglasmarc@example.org",Account has 10 users. Admins include N/A.,answer_accuracy
17,What is the seat utilization and plan tier for account 0f0e04f1-42dc-4e99-a8bf-03c5408b1ac9?,crm,crm,False,0,0f0e04f1-42dc-4e99-a8bf-03c5408b1ac9,,"Starter, 47",Plan Tier is Starter with 47 allocated seats.,answer_accuracy
18,What is the seat utilization and plan tier for account d75e3493-297b-4c91-a713-ade88c8b8792?,crm,crm,False,0,d75e3493-297b-4c91-a713-ade88c8b8792,,"Starter, 139",Plan Tier is Starter with 139 allocated seats.,answer_accuracy
19,What is the seat utilization and plan tier for account 7162938a-cf62-4017-b478-225e747cd675?,crm,crm,False,0,7162938a-cf62-4017-b478-225e747cd675,,"Starter, 28",Plan Tier is Starter with 28 allocated seats.,answer_accuracy
